path	added	removed	stage	status	evidence
codex-rs/spine-core/src/archive.rs	419	0	P1	pending	
codex-rs/spine-core/src/artifact.rs	39	0	P1	pending	
codex-rs/spine-core/src/bootstrap.rs	41	0	P1	pending	
codex-rs/spine-core/src/compiler.rs	188	0	P1	pending	
codex-rs/spine-core/src/config.rs	709	0	P1	pending	
codex-rs/spine-core/src/config/loader.rs	220	0	P1	pending	
codex-rs/spine-core/src/config/loader_tests.rs	119	0	P1	pending	
codex-rs/spine-core/src/context_char.rs	304	0	P1	pending	
codex-rs/spine-core/src/context_event.rs	125	0	P1	pending	
codex-rs/spine-core/src/context_event_tests.rs	52	0	P1	pending	
codex-rs/spine-core/src/context_plan.rs	347	0	P1	pending	
codex-rs/spine-core/src/context_plan_tests.rs	313	0	P1	pending	
codex-rs/spine-core/src/context_runtime.rs	465	0	P1	pending	
codex-rs/spine-core/src/context_runtime/projection.rs	274	0	P1	pending	
codex-rs/spine-core/src/executed_fact.rs	162	0	P1	pending	
codex-rs/spine-core/src/identity.rs	248	0	P1	pending	
codex-rs/spine-core/src/lib.rs	231	0	P1	pending	
codex-rs/spine-core/src/model.rs	523	0	P1	pending	
codex-rs/spine-core/src/observer.rs	49	0	P1	pending	
codex-rs/spine-core/src/planner.rs	548	0	P1	pending	
codex-rs/spine-core/src/planner/context_builder.rs	206	0	P1	pending	
codex-rs/spine-core/src/planner/error.rs	157	0	P1	pending	
codex-rs/spine-core/src/planner/helpers.rs	18	0	P1	pending	
codex-rs/spine-core/src/planner/types.rs	74	0	P1	pending	
codex-rs/spine-core/src/pressure.rs	52	0	P1	pending	
codex-rs/spine-core/src/pressure_tests.rs	102	0	P1	pending	
codex-rs/spine-core/src/prompt.rs	97	0	P1	pending	
codex-rs/spine-core/src/reducer.rs	500	0	P1	pending	
codex-rs/spine-core/src/replay.rs	536	0	P1	pending	
codex-rs/spine-core/src/replay/apply.rs	31	0	P1	pending	
codex-rs/spine-core/src/replay/compact.rs	97	0	P1	pending	
codex-rs/spine-core/src/sampling.rs	531	0	P1	pending	
codex-rs/spine-core/src/sampling_delta.rs	243	0	P1	pending	
codex-rs/spine-core/src/sampling_runtime.rs	512	0	P1	pending	
codex-rs/spine-core/src/source_ledger.rs	317	0	P1	pending	
codex-rs/spine-core/src/status.rs	167	0	P1	pending	
codex-rs/spine-core/src/status_tests.rs	15	0	P1	pending	
codex-rs/spine-core/src/tools.rs	538	0	P1	pending	
codex-rs/spine-core/tests/host_sampling_conformance.rs	90	0	P1	pending	
codex-rs/state/src/extract.rs	4	1	P1-P2	pending	
codex-rs/state/src/runtime/threads.rs	3	1	P1-P2	pending	
codex-rs/stdio-to-uds/README.md	1	1	P6	pending	
codex-rs/thread-store/src/local/mod.rs	7	0	P1-P2	pending	
codex-rs/thread-store/src/local/model_context.rs	216	34	P1-P2	pending	
codex-rs/thread-store/src/local/model_context_tests.rs	99	2	P1-P2	pending	
codex-rs/thread-store/src/local/paginated_fork.rs	218	20	P1-P2	pending	
codex-rs/thread-store/src/local/paginated_fork_tests.rs	246	0	P1-P2	pending	
codex-rs/thread-store/src/local/rollout_migration/canonicalizer.rs	3	1	P1-P2	pending	
codex-rs/thread-store/src/store.rs	10	0	P1-P2	pending	
codex-rs/thread-store/src/thread_metadata_sync.rs	3	1	P1-P2	pending	
codex-rs/thread-store/src/types.rs	7	0	P1-P2	pending	
codex-rs/tui/src/app.rs	27	2	P5	pending	
codex-rs/tui/src/app/agent_message_consolidation.rs	28	8	P5	pending	
codex-rs/tui/src/app/agent_navigation.rs	132	0	P5	pending	
codex-rs/tui/src/app/agent_status_feed.rs	0	210	P5	pending	
codex-rs/tui/src/app/agent_status_feed_tests.rs	0	113	P5	pending	
codex-rs/tui/src/app/app_server_event_targets.rs	5	0	P5	pending	
codex-rs/tui/src/app/background_requests.rs	250	26	P5	pending	
codex-rs/tui/src/app/config_persistence.rs	86	5	P5	pending	
codex-rs/tui/src/app/event_dispatch.rs	411	12	P5	pending	
codex-rs/tui/src/app/event_dispatch_tests.rs	684	0	P5	pending	
